precinct_code,gen_dem_CLINTON,gen_ind_STEIN,gen_lib_JOHNSON,gen_rep_TRUMP,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_lib_FELDMAN,pri_lib_HALE,pri_lib_INCE,pri_lib_JOHNSON,pri_lib_JR.,pri_lib_KERBEL,pri_lib_PERRY,pri_lib_PETERSEN,pri_lib_REID,pri_lib_SMITH,pri_lib_WAYMIRE,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GILMORE,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_total,rep_pri_total,dem_pri_total
Alamance-37101,411.0,10.0,50.0,1865.0,108.0,1.0,11.0,118.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,396.0,0.0,0.0,1.0,29.0,2.0,36.0,0.0,296.0,2336.0,770.0,238.0
Alamance-37102,403.0,5.0,40.0,2004.0,91.0,3.0,7.0,137.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,345.0,1.0,0.0,4.0,72.0,0.0,44.0,1.0,361.0,2452.0,843.0,238.0
Alamance-371035,995.0,14.0,77.0,1485.0,182.0,1.0,6.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,10.0,3.0,268.0,0.0,0.0,2.0,63.0,2.0,39.0,0.0,266.0,2571.0,657.0,371.0
Alamance-37103C,679.0,5.0,64.0,1059.0,207.0,1.0,10.0,157.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.0,239.0,0.0,0.0,2.0,167.0,4.0,87.0,1.0,214.0,1807.0,723.0,375.0
Alamance-37103N,1036.0,12.0,66.0,1160.0,231.0,2.0,7.0,169.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,210.0,1.0,0.0,2.0,123.0,0.0,74.0,1.0,223.0,2274.0,643.0,409.0
Alamance-37103N2,310.0,2.0,13.0,214.0,151.0,1.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,58.0,2.0,0.0,0.0,57.0,0.0,19.0,0.0,53.0,539.0,194.0,209.0
Alamance-37103S,1782.0,0.0,125.0,2045.0,405.0,3.0,2.0,335.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,1.0,348.0,1.0,0.0,2.0,161.0,0.0,116.0,2.0,392.0,3952.0,1033.0,745.0
Alamance-37103W,665.0,3.0,68.0,1201.0,168.0,2.0,4.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,247.0,0.0,0.0,1.0,64.0,2.0,55.0,0.0,192.0,1937.0,570.0,303.0
Alamance-37104,577.0,11.0,63.0,2043.0,173.0,3.0,11.0,155.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,350.0,0.0,2.0,6.0,39.0,0.0,46.0,2.0,315.0,2694.0,770.0,342.0
Alamance-37105,327.0,1.0,47.0,1448.0,73.0,4.0,7.0,121.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,217.0,1.0,0.0,2.0,43.0,2.0,46.0,0.0,227.0,1823.0,545.0,205.0
Alamance-371063,996.0,6.0,29.0,528.0,219.0,2.0,2.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,93.0,0.0,0.0,3.0,16.0,0.0,13.0,0.0,76.0,1559.0,202.0,369.0
Alamance-371064,1054.0,9.0,63.0,1800.0,314.0,0.0,8.0,217.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,1.0,341.0,0.0,0.0,1.0,88.0,0.0,55.0,0.0,334.0,2926.0,829.0,539.0
Alamance-37106E,741.0,3.0,39.0,671.0,185.0,2.0,4.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,130.0,0.0,0.0,0.0,17.0,0.0,18.0,0.0,108.0,1454.0,280.0,313.0
Alamance-37106N,834.0,3.0,38.0,423.0,166.0,0.0,1.0,114.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,68.0,0.0,0.0,1.0,12.0,1.0,9.0,1.0,53.0,1298.0,149.0,281.0
Alamance-37106S,716.0,7.0,57.0,1183.0,183.0,2.0,3.0,151.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,0.0,174.0,0.0,0.0,1.0,32.0,1.0,44.0,0.0,194.0,1963.0,458.0,339.0
Alamance-37106W,339.0,1.0,11.0,271.0,57.0,0.0,2.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,38.0,0.0,0.0,1.0,10.0,2.0,3.0,1.0,35.0,622.0,91.0,119.0
Alamance-37107,450.0,4.0,54.0,1670.0,115.0,1.0,7.0,140.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,337.0,0.0,0.0,0.0,51.0,2.0,41.0,0.0,251.0,2178.0,692.0,263.0
Alamance-37108N,638.0,9.0,38.0,1204.0,154.0,1.0,3.0,208.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,201.0,0.0,1.0,2.0,27.0,1.0,29.0,0.0,157.0,1889.0,422.0,366.0
Alamance-37108S,276.0,10.0,27.0,723.0,68.0,1.0,2.0,119.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,119.0,0.0,0.0,0.0,17.0,1.0,15.0,0.0,120.0,1036.0,275.0,190.0
Alamance-37109N,550.0,10.0,49.0,853.0,151.0,0.0,6.0,111.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,152.0,0.0,0.0,0.0,43.0,0.0,25.0,0.0,143.0,1462.0,367.0,268.0
Alamance-37109S,1085.0,8.0,62.0,1771.0,259.0,3.0,7.0,294.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,304.0,0.0,0.0,1.0,63.0,1.0,46.0,0.0,281.0,2926.0,704.0,563.0
Alamance-371103,602.0,4.0,42.0,1314.0,145.0,2.0,6.0,138.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,279.0,0.0,0.0,0.0,40.0,1.0,49.0,0.0,184.0,1962.0,559.0,291.0
Alamance-37110N,954.0,5.0,69.0,1464.0,265.0,3.0,6.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12.0,0.0,286.0,0.0,2.0,1.0,73.0,4.0,45.0,0.0,267.0,2492.0,690.0,504.0
Alamance-37110S,2445.0,25.0,154.0,2240.0,576.0,3.0,7.0,528.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,4.0,12.0,1.0,433.0,1.0,0.0,3.0,111.0,4.0,104.0,0.0,381.0,4864.0,1054.0,1114.0
Alamance-37111,1142.0,7.0,42.0,1037.0,360.0,3.0,2.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,155.0,0.0,0.0,0.0,24.0,0.0,17.0,1.0,190.0,2228.0,391.0,512.0
Alamance-3711210,607.0,11.0,33.0,569.0,128.0,1.0,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,1.0,17.0,0.0,21.0,0.0,112.0,1220.0,244.0,269.0
Alamance-371124,543.0,2.0,36.0,666.0,144.0,0.0,3.0,149.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,127.0,0.0,0.0,1.0,45.0,1.0,16.0,0.0,124.0,1247.0,322.0,296.0
Alamance-371125,523.0,6.0,38.0,874.0,132.0,3.0,5.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,177.0,0.0,0.0,0.0,36.0,2.0,22.0,0.0,162.0,1441.0,402.0,286.0
Alamance-371126,578.0,4.0,34.0,809.0,196.0,0.0,9.0,135.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,1.0,156.0,0.0,0.0,2.0,100.0,0.0,44.0,0.0,198.0,1425.0,512.0,340.0
Alamance-371127,1831.0,2.0,51.0,637.0,454.0,2.0,3.0,162.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,86.0,0.0,0.0,0.0,8.0,1.0,22.0,0.0,89.0,2521.0,210.0,621.0
Alamance-371128,788.0,3.0,24.0,325.0,165.0,1.0,1.0,97.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,76.0,0.0,0.0,0.0,15.0,1.0,12.0,0.0,37.0,1140.0,142.0,264.0
Alamance-371129,381.0,0.0,28.0,771.0,100.0,0.0,2.0,79.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,154.0,0.0,0.0,3.0,50.0,0.0,31.0,0.0,170.0,1180.0,415.0,181.0
Alamance-37112E,552.0,2.0,18.0,322.0,99.0,2.0,2.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,48.0,0.0,0.0,0.0,3.0,1.0,5.0,0.0,48.0,894.0,107.0,164.0
Alamance-37112N,1777.0,2.0,45.0,289.0,489.0,0.0,4.0,153.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,25.0,1.0,0.0,0.0,2.0,0.0,4.0,0.0,48.0,2113.0,83.0,646.0
Alamance-37112S,493.0,1.0,13.0,198.0,82.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,29.0,705.0,64.0,159.0
Alamance-37112W,706.0,8.0,46.0,618.0,199.0,1.0,1.0,182.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,157.0,0.0,0.0,0.0,74.0,4.0,35.0,0.0,96.0,1378.0,368.0,383.0
Alamance-37113,1047.0,1.0,42.0,1061.0,297.0,3.0,7.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,127.0,0.0,1.0,2.0,14.0,1.0,18.0,2.0,160.0,2151.0,330.0,468.0
Alexander-373B1,419.0,4.0,47.0,1669.0,75.0,0.0,2.0,118.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,342.0,0.0,0.0,5.0,75.0,2.0,45.0,0.0,372.0,2139.0,848.0,195.0
Alexander-373B2,483.0,7.0,82.0,1931.0,140.0,1.0,13.0,157.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,364.0,0.0,0.0,2.0,72.0,0.0,37.0,0.0,455.0,2503.0,944.0,311.0
Alexander-373E,361.0,1.0,44.0,1328.0,106.0,5.0,7.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,275.0,0.0,0.0,3.0,18.0,1.0,23.0,0.0,252.0,1734.0,576.0,243.0
Alexander-373G1G2,240.0,0.0,21.0,924.0,82.0,0.0,4.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,172.0,0.0,0.0,2.0,17.0,0.0,4.0,0.0,138.0,1185.0,336.0,188.0
Alexander-373LRSL,240.0,0.0,30.0,1207.0,71.0,1.0,5.0,70.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,307.0,0.0,0.0,0.0,34.0,2.0,23.0,0.0,167.0,1477.0,540.0,147.0
Alexander-373M,264.0,2.0,23.0,892.0,87.0,2.0,4.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,166.0,0.0,0.0,2.0,16.0,2.0,13.0,1.0,173.0,1181.0,379.0,152.0
Alexander-373S1S2,368.0,3.0,50.0,1528.0,143.0,2.0,8.0,122.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,1.0,271.0,1.0,0.0,2.0,19.0,1.0,23.0,0.0,243.0,1949.0,571.0,275.0
Alexander-373T1T4T5,626.0,4.0,55.0,2049.0,193.0,1.0,7.0,177.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,431.0,0.0,0.0,5.0,59.0,4.0,29.0,2.0,348.0,2734.0,896.0,378.0
Alexander-373T2T3,560.0,1.0,59.0,1339.0,192.0,2.0,6.0,122.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,288.0,1.0,0.0,9.0,29.0,1.0,28.0,1.0,221.0,1959.0,582.0,322.0
Alexander-373W,206.0,1.0,26.0,1026.0,62.0,0.0,3.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,226.0,0.0,1.0,2.0,35.0,0.0,18.0,0.0,245.0,1259.0,533.0,139.0
Alleghany-37501,177.0,0.0,16.0,653.0,73.0,1.0,6.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,88.0,0.0,0.0,0.0,47.0,0.0,21.0,0.0,152.0,846.0,312.0,171.0
Alleghany-37502,0.0,0.0,0.0,0.0,13.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,48.0,0.0,80.0,35.0
Alleghany-37503,0.0,0.0,0.0,0.0,250.0,1.0,18.0,216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,147.0,1.0,0.0,3.0,36.0,1.0,27.0,2.0,250.0,0.0,473.0,485.0
Alleghany-37503A,688.0,0.0,69.0,1663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2420.0,0.0,0.0
Alleghany-37504,176.0,0.0,21.0,755.0,80.0,2.0,4.0,101.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,1.0,0.0,1.0,22.0,1.0,17.0,0.0,152.0,952.0,300.0,187.0
Alleghany-37505,0.0,0.0,0.0,0.0,60.0,0.0,2.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,30.0,2.0,0.0,0.0,20.0,0.0,11.0,0.0,51.0,0.0,116.0,97.0
Alleghany-37506,0.0,0.0,0.0,0.0,43.0,0.0,3.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,54.0,0.0,0.0,1.0,18.0,0.0,8.0,0.0,51.0,0.0,134.0,105.0
Alleghany-37506A,265.0,0.0,23.0,743.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.0,0.0,0.0
Alleghany-37507,0.0,0.0,0.0,0.0,40.0,2.0,2.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,54.0,0.0,0.0,1.0,11.0,1.0,12.0,0.0,83.0,0.0,166.0,93.0
Alleghany-375ABSENTEE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anson-377ABSENTEE,135.0,0.0,7.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,0.0,0.0
Anson-377ANS,209.0,0.0,9.0,251.0,159.0,0.0,7.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,51.0,469.0,84.0,250.0
Anson-377BURN,123.0,0.0,15.0,441.0,89.0,1.0,2.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,122.0,0.0,0.0,2.0,10.0,1.0,11.0,0.0,71.0,579.0,218.0,185.0
Anson-377GULL,132.0,0.0,4.0,174.0,173.0,2.0,4.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,26.0,1.0,0.0,0.0,3.0,0.0,5.0,0.0,44.0,310.0,81.0,250.0
Anson-377LILE,263.0,0.0,9.0,278.0,423.0,2.0,7.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,54.0,0.0,0.0,1.0,9.0,0.0,6.0,0.0,73.0,550.0,145.0,586.0
Anson-377MM,255.0,0.0,2.0,92.0,299.0,0.0,2.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,22.0,349.0,31.0,364.0
Anson-377ONE STOP,3724.0,3.0,54.0,2021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5802.0,0.0,0.0
Anson-377PEAC,111.0,0.0,8.0,431.0,78.0,1.0,6.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,55.0,0.0,0.0,1.0,11.0,1.0,3.0,0.0,107.0,550.0,179.0,163.0
Anson-377POLK,129.0,0.0,3.0,202.0,66.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,34.0,0.0,0.0,0.0,8.0,1.0,2.0,0.0,45.0,334.0,92.0,119.0
Anson-377W1,320.0,0.0,3.0,132.0,372.0,3.0,5.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,42.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,47.0,455.0,104.0,473.0
Anson-377W2,150.0,0.0,5.0,102.0,286.0,0.0,2.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,40.0,257.0,65.0,362.0
Anson-377W3,177.0,0.0,10.0,185.0,348.0,3.0,14.0,147.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,47.0,0.0,0.0,0.0,16.0,0.0,18.0,2.0,99.0,372.0,187.0,512.0
Anson-377WS,61.0,0.0,0.0,89.0,33.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,18.0,150.0,42.0,53.0
Ashe-37902,90.0,0.0,16.0,349.0,59.0,0.0,3.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,85.0,0.0,0.0,3.0,23.0,1.0,12.0,0.0,91.0,455.0,222.0,128.0
Ashe-37903,24.0,0.0,10.0,186.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,48.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,54.0,220.0,118.0,23.0
Ashe-37904,44.0,0.0,5.0,127.0,11.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,42.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,23.0,176.0,76.0,43.0
Ashe-37906,40.0,0.0,2.0,163.0,19.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,20.0,0.0,0.0,0.0,11.0,0.0,3.0,0.0,64.0,205.0,100.0,50.0
Ashe-37907,38.0,0.0,2.0,119.0,13.0,0.0,1.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,0.0,0.0,2.0,5.0,0.0,3.0,0.0,24.0,159.0,55.0,43.0
Ashe-37908,27.0,0.0,2.0,47.0,18.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,15.0,76.0,34.0,26.0
Ashe-37909,208.0,0.0,20.0,591.0,132.0,2.0,7.0,122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,157.0,0.0,0.0,2.0,43.0,2.0,30.0,0.0,187.0,819.0,424.0,263.0
Ashe-37910,21.0,0.0,2.0,71.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,27.0,94.0,46.0,17.0
Ashe-37911,130.0,0.0,21.0,485.0,102.0,0.0,1.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,89.0,0.0,0.0,2.0,25.0,0.0,21.0,0.0,155.0,636.0,294.0,185.0
Ashe-37912,72.0,0.0,5.0,261.0,25.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,67.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,56.0,338.0,150.0,70.0
Ashe-37913,88.0,0.0,12.0,298.0,43.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,71.0,0.0,0.0,0.0,22.0,0.0,2.0,0.0,102.0,398.0,198.0,88.0
Ashe-37914,100.0,0.0,7.0,333.0,92.0,0.0,2.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,128.0,1.0,0.0,3.0,31.0,3.0,29.0,0.0,149.0,440.0,345.0,192.0
Ashe-37915,58.0,0.0,5.0,284.0,34.0,0.0,3.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,61.0,0.0,0.0,0.0,24.0,0.0,6.0,0.0,80.0,347.0,172.0,69.0
Ashe-37916,82.0,0.0,23.0,356.0,51.0,0.0,2.0,73.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,4.0,0.0,156.0,0.0,0.0,2.0,39.0,0.0,20.0,0.0,141.0,461.0,364.0,126.0
Ashe-37917,46.0,0.0,9.0,295.0,21.0,0.0,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,62.0,0.0,0.0,4.0,10.0,0.0,7.0,0.0,75.0,350.0,160.0,47.0
Ashe-37918,12.0,0.0,0.0,64.0,4.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,76.0,36.0,15.0
Ashe-37920,176.0,0.0,24.0,588.0,134.0,0.0,5.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,142.0,0.0,0.0,1.0,38.0,0.0,29.0,0.0,209.0,788.0,430.0,266.0
Ashe-379ABSENTEE,165.0,0.0,18.0,295.0,45.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,34.0,0.0,0.0,0.0,11.0,0.0,6.0,0.0,36.0,478.0,90.0,64.0
Ashe-379ONE STOP,2064.0,0.0,149.0,4458.0,411.0,4.0,14.0,342.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,16.0,2.0,373.0,0.0,0.0,8.0,132.0,3.0,96.0,0.0,490.0,6671.0,1127.0,771.0
Avery-371101,72.0,1.0,7.0,303.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0,136.0,0.0,1.0,3.0,29.0,2.0,27.0,0.0,101.0,383.0,308.0,45.0
Avery-371102,238.0,7.0,33.0,550.0,51.0,0.0,2.0,94.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,1.0,156.0,3.0,0.0,2.0,62.0,2.0,26.0,1.0,226.0,828.0,489.0,147.0
Avery-371103,28.0,0.0,3.0,209.0,5.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,78.0,0.0,0.0,1.0,9.0,0.0,8.0,0.0,52.0,240.0,154.0,16.0
Avery-371104,7.0,0.0,0.0,32.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,21.0,39.0,27.0,4.0
