precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_KASICH,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP,gen_dem_CLINTON,gen_grn_STEIN,gen_ind_FUENTE,gen_ind_SANDERS,gen_lib_JOHNSON,gen_rep_TRUMP,gen_sol_RIVA,dem_primary_total,rep_primary_total,dem_general_total,rep_general_total
WASHINGTONFAYSTON,42,0,0,283,2,2,0,6,0,45,0,14,0,22,1172,46,2,42,42,284,0,325,91,1172,284
WASHINGTONMARSHFIELD,17,1,0,324,3,12,0,17,1,34,2,43,0,40,834,102,8,71,54,568,0,342,152,834,568
WASHINGTONMIDDLESEX,68,0,0,511,5,5,0,18,1,56,2,28,0,32,1438,94,10,67,62,456,2,579,147,1438,456
WASHINGTONMONTPELIER,477,2,5,2402,11,20,4,33,0,248,6,105,1,117,7396,416,14,228,196,984,8,2886,545,7396,984
WASHINGTONMORETOWN,43,1,1,416,7,2,0,15,1,69,0,32,1,38,1298,44,6,76,84,432,0,461,165,1298,432
WASHINGTONNORTHFIELD,128,1,1,736,5,19,1,43,0,178,1,112,0,174,2226,98,20,130,210,1416,4,866,533,2226,1416
WASHINGTONPLAINFIELD,28,0,0,312,2,3,2,8,0,32,0,13,0,26,848,84,6,53,32,258,4,340,86,848,258
WASHINGTONROXBURY,14,0,0,173,2,2,0,5,1,19,1,7,1,22,372,28,2,28,42,236,0,187,60,372,236
WASHINGTONWAITSFIELD,69,0,2,499,4,7,0,7,0,68,5,34,0,66,1502,70,12,74,58,420,0,570,191,1502,420
WASHINGTONWARREN,64,1,0,438,2,5,0,13,1,47,1,19,0,33,1504,50,8,62,90,364,0,503,121,1504,364
WASHINGTONWATERBURY,174,0,4,1220,1,11,2,27,4,156,0,90,0,101,4070,88,32,231,182,1184,2,1398,392,4070,1184
WASHINGTONWOODBURY,11,0,0,185,1,3,0,12,0,15,1,13,1,18,542,36,6,44,36,338,4,196,64,542,338
WASHINGTONWORCESTER,24,0,0,311,5,1,1,5,0,27,2,15,0,16,748,54,6,48,38,234,2,335,72,748,234
WINDHAMATHENS,5,0,0,57,1,3,0,5,0,16,0,4,0,13,138,16,2,0,12,122,0,62,42,138,122
WINDHAMBRATTLEBORO,422,1,3,2916,18,23,2,49,4,150,3,84,4,183,8694,472,18,344,158,1718,11,3342,520,8694,1718
WINDHAMBROOKLINE,15,0,1,129,0,3,0,1,0,8,1,15,0,11,338,12,10,23,24,136,2,145,39,338,136
WINDHAMDOVER,34,0,0,244,5,10,4,14,0,39,3,36,2,64,818,28,6,42,48,558,6,278,177,818,558
WINDHAMDUMMERSTON,76,0,1,549,7,18,1,12,1,46,1,34,0,53,1594,54,4,60,62,426,8,626,173,1594,426
WINDHAMGRAFTON,26,0,0,169,6,3,0,10,0,28,3,19,1,42,420,12,2,24,28,262,0,195,112,420,262
WINDHAMGUILFORD,57,0,3,565,1,5,0,14,0,32,1,27,0,51,1438,88,2,72,58,548,4,625,131,1438,548
WINDHAMHALIFAX,26,0,0,189,4,8,1,14,0,17,0,22,0,52,404,24,2,23,20,366,0,215,118,404,366
WINDHAMJAMAICA,43,0,0,178,0,5,0,5,0,20,1,10,0,22,622,22,4,23,48,264,6,221,63,622,264
WINDHAMLONDONDERRY,54,0,0,274,0,5,1,10,0,43,0,34,0,64,1034,54,6,48,60,606,4,328,157,1034,606
WINDHAMMARLBORO,42,0,1,305,1,4,2,4,0,20,2,14,0,9,864,42,2,19,10,180,2,348,56,864,180
WINDHAMNEWFANE,67,0,2,448,3,6,2,8,1,34,1,15,0,58,1304,84,2,68,28,418,0,517,128,1304,418
WINDHAMPUTNEY,80,0,1,734,4,9,1,8,0,28,0,29,0,45,1984,80,0,63,64,350,2,815,124,1984,350
WINDHAMROCKINGHAM,134,2,2,1020,9,15,3,33,0,90,5,44,0,141,2630,92,18,118,150,1152,2,1158,340,2630,1152
WINDHAMSTRATTON,7,0,0,32,1,1,1,3,0,10,0,6,1,17,130,0,2,5,4,100,2,39,40,130,100
WINDHAMTOWNSHEND,39,0,2,248,4,10,3,13,1,20,2,26,0,31,824,20,6,54,34,348,0,289,110,824,348
WINDHAMVERNON,62,1,1,393,15,54,1,56,3,67,2,84,0,150,984,22,6,50,100,972,0,457,432,984,972
WINDHAMWARDSBORO,16,0,0,134,0,1,1,5,0,19,0,15,0,29,398,22,2,25,24,274,0,150,70,398,274
WINDHAMWESTMINSTER,102,0,1,857,9,5,3,19,1,54,1,43,0,91,2002,122,10,82,64,704,0,960,226,2002,704
WINDHAMWHITINGHAM,24,0,1,164,5,12,0,8,0,29,2,23,1,52,566,20,8,30,44,570,2,189,132,566,570
WINDHAMWILMINGTON,70,0,0,370,6,5,0,23,1,64,1,29,1,84,1182,52,4,44,72,676,4,440,214,1182,676
WINDHAMWINDHAM,15,0,0,110,0,0,0,0,0,9,0,4,0,12,312,16,6,16,20,158,2,125,25,312,158
WINDSORANDOVER,14,0,1,100,0,6,0,13,0,13,5,10,3,27,332,8,2,17,16,250,2,115,77,332,250
WINDSORBALTIMORE,1,0,0,43,0,2,1,3,0,6,1,5,0,14,100,4,4,2,18,120,0,44,32,100,120
WINDSORBARNARD,46,0,0,214,4,8,1,5,1,41,0,18,0,38,678,22,4,25,26,348,0,260,116,678,348
WINDSORBETHEL,43,0,0,376,0,8,2,19,2,44,0,17,0,57,1086,72,4,73,66,598,0,419,149,1086,598
WINDSORBRIDGEWATER,24,0,0,165,4,8,1,8,0,30,0,15,0,38,560,26,32,32,22,320,4,189,104,560,320
WINDSORCAVENDISH,29,1,1,250,4,6,1,17,1,36,2,21,0,57,612,38,10,62,40,524,0,281,145,612,524
WINDSORCHESTER,78,0,0,592,8,13,1,40,4,82,2,73,0,105,1654,68,6,94,94,1024,2,670,328,1654,1024
WINDSORHARTFORD,386,2,3,1902,27,52,10,95,5,327,3,185,1,326,6380,186,44,280,348,2606,12,2293,1031,6380,2606
WINDSORHARTLAND,138,0,1,798,2,11,1,37,3,106,3,58,0,124,2316,76,6,92,104,1116,2,937,345,2316,1116
WINDSORLUDLOW,80,0,1,369,3,15,1,25,1,67,2,55,1,93,1076,46,14,74,56,806,4,450,263,1076,806
WINDSORNORWICH,405,0,2,1020,5,3,1,12,1,110,0,38,0,46,3964,66,2,48,72,382,2,1427,216,3964,382
WINDSORPLYMOUTH,27,0,0,114,2,6,0,6,2,20,0,8,0,39,346,18,2,16,26,250,0,141,83,346,250
WINDSORPOMFRET,55,0,0,235,4,3,1,3,1,43,0,16,0,19,790,14,0,29,42,260,2,290,90,790,260
WINDSORREADING,28,0,0,163,1,2,0,2,0,22,0,6,0,35,462,14,0,15,22,216,0,191,68,462,216
WINDSORROCHESTER,28,0,1,294,1,7,0,1,0,45,3,19,1,25,786,34,2,50,34,324,0,323,102,786,324
WINDSORROYALTON,77,0,0,502,3,9,3,18,2,66,2,39,1,70,1396,62,8,112,92,812,6,579,213,1396,812
WINDSORSHARON,38,0,0,330,6,3,0,11,1,37,1,21,2,46,856,50,6,60,30,434,0,368,128,856,434
WINDSORSPRINGFIELD,213,2,3,1366,12,53,4,82,6,225,2,146,4,394,3746,170,36,276,288,3020,4,1584,928,3746,3020
WINDSORSTOCKBRIDGE,22,0,0,132,2,1,0,7,0,36,1,10,0,19,444,26,12,33,14,280,0,154,76,444,280
WINDSORWEATHERSFIELD,78,0,0,538,10,15,4,46,2,101,3,50,0,183,1490,52,16,86,102,1294,2,616,414,1490,1294
WINDSORWEST WINDSOR,53,0,0,269,3,6,0,13,0,59,0,26,0,39,938,12,4,0,54,346,0,322,146,938,346
WINDSORWESTON,26,0,0,155,0,4,0,6,0,32,0,9,0,17,534,10,2,17,16,212,0,181,68,534,212
WINDSORWINDSOR,108,1,2,709,7,11,1,32,4,64,3,62,0,104,1928,88,6,92,184,924,4,820,288,1928,924
WINDSORWOODSTOCK,200,0,0,709,8,8,4,19,3,130,6,67,1,90,2638,62,10,73,96,744,4,909,336,2638,744
